Label;Function;Description;APIName;APIUrl;Action;LocalPermissions;RemotePermissions;Scope;Settings;Available;ReportType;ExportFile;BoxVersion
GET-NOTIFICATIONA;Get-NOTIFICATIONAlerts;Get NOTIFICATION Alerts List Information;notification/alerts;https://192.168.1.254/api/v1/notification/alerts;GET;private;private;notif-read;No;Yes;Table;notification-alerts;22.3.22
GET-NOTIFICATIONC;Get-NOTIFICATIONContacts;Get NOTIFICATION Contacts Information;notification/contacts;https://192.168.1.254/api/v1/notification/contacts;GET;private;private;notif-read;No;Yes;Table;notification-contacts;22.3.22
GET-NOTIFICATIONE;Get-NOTIFICATIONEvents;Get NOTIFICATION Events Information;notification/events;https://192.168.1.254/api/v1/notification/events;GET;private;private;notif-read;No;Yes;Table;notification-events;22.3.22
GET-OAUTHA;Get-OAUTHAuthorize;Get OAUTH Authorize Information;oauth/authorize;https://192.168.1.254/api/v1/oauth/authorize;GET;public;private;any;No;No;List;oauth-authorize;22.3.22
GET-OQCBUTTONID;Get-OQCBUTTONID;Get Box BUTTON Information;oqc/button;https://192.168.1.254/api/v1/oqc/button;GET;private;private;device-read;No;No;$null;oqc-button;22.3.22
GET-PARENTALCONTROL;Get-PARENTALCONTROL;Get PARENTAL CONTROL Configuration Information;parentalcontrol;https://192.168.1.254/api/v1/parentalcontrol;GET;private;private;parental-read;No;Yes;List;parentalcontrol;22.3.22
GET-PARENTALCONTROLS;Get-PARENTALCONTROLScheduler;Get PARENTAL CONTROL Scheduler Configuration Information;parentalcontrol/scheduler;https://192.168.1.254/api/v1/parentalcontrol/scheduler;GET;private;private;parental-read;No;Yes;list;parentalcontrol-scheduler;22.3.22
GET-PARENTALCONTROLSR;Get-PARENTALCONTROLSchedulerRules;Get PARENTAL CONTROL Scheduler Rules Configuration Information;parentalcontrol/scheduler;https://192.168.1.254/api/v1/parentalcontrol/scheduler;GET;private;private;parental-read;No;Yes;Table;parentalcontrol-scheduler-rules;22.3.22
GET-PASSRECOVERV;Get-PasswordRecoveryVerify;Get Password Recovery Verify Inofrmation;password-recovery/verify;https://192.168.1.254/api/v1/password-recovery/verify;GET;public;None;auth-write;No;Yes;List;password-recovery-verify;22.3.22
GET-PROFILEC;Get-PROFILEConsumption;Get PROFIL Consumption Information;profile/consumption;https://192.168.1.254/api/v1/profile/consumption;GET;private;private;profile-read;No;Yes;List;profile-consumption;22.3.22
