Label;Function;Description;APIName;APIUrl;Action;LocalPermissions;RemotePermissions;Scope;Settings;Available;ReportType;ExportFile;BoxVersion
;;Access a given contact number;;https://mafreebox.freebox.fr/api/v4/[number,address,url,email]/{id};Get;Private;Private;;No;Yes;List;Contact_Details_By_ID;
;;Create a contact number;; https://mafreebox.freebox.fr/api/v4/[number,address,url,email];Post;Private;Private;;No;No;List;Contact;
;;Update a contact number;; https://mafreebox.freebox.fr/api/v4/[number,address,url,email];Put;Private;Private;;No;No;List;Contact;
;;Delete a contact number;; https://mafreebox.freebox.fr/api/v4/[number,address,url,email]/{id};Delete;Private;Private;;No;No;List;Contact_Details_By_ID;
;;Get the current Connection status;;https://mafreebox.freebox.fr/api/v4/connection;Get;Private;Private;;No;Yes;List;Connection;
;;Get the current Connection Configuration;;https://mafreebox.freebox.fr/api/v4/connection/config;Get;Private;Private;;No;Yes;List;Connection_Config;
;;Update the current Connection Configuration;; https://mafreebox.freebox.fr/api/v4/connection/config;Put;Private;Private;;No;No;List;Connection_Config;
;;Get the current IPv6 Connection configuration;;https://mafreebox.freebox.fr/api/v4/connection/ipv6/config;Get;Private;Private;;No;Yes;List;Connection_IPV6_Config;
;;Update the IPv6 Connection configuration;; https://mafreebox.freebox.fr/api/v4/connection/ipv6/config;Put;Private;Private;;No;No;List;Connection_IPV6_Config;
;;Get the current xDSL infos;;https://mafreebox.freebox.fr/api/v4/connection/xdsl/;Get;Private;Private;;No;Yes;List;Connection_xdsl;
;;Get the current FTTH infos;;https://mafreebox.freebox.fr/api/v4/connection/ftth;Get;Private;Private;;No;Yes;List;Connection_ftth;
;;Get the config of a DynDNS service;;https://mafreebox.freebox.fr/api/v4/connection/ddns/{provider};Get;Private;Private;;No;Yes;List;ddns_By_Provider;
;;Set the config of a DynDNS service;; https://mafreebox.freebox.fr/api/v4/connection/ddns/{provider};Put;Private;Private;;No;No;List;ddns_By_Provider;
;;Get the status of a DynDNS service;;https://mafreebox.freebox.fr/api/v4/connection/ddns/{provider}/status;Get;Private;Private;;No;Yes;List;ddns_Status_By_Provider;
;;Get the current Lan configuration;;https://mafreebox.freebox.fr/api/v4/lan/config;Get;Private;Private;;No;Yes;List;Lan_Config;
