Label;Function;Description;APIName;APIUrl;Action;LocalPermissions;RemotePermissions;Scope;Settings;Available;ReportType;ExportFile
GET-ErrorCodeTest;Get-ErrorCodeTest;Error Code : Operation not found;404;https://192.168.1.254/api/v1/404;GET;private;Private;host-read;No;Yes;List;error-404
GET-FIREWALL;Get-FIREWALL;Get FIREWALL Configuration Information;firewall;https://192.168.1.254/api/v1/firewall;GET;private;Private;firewall-read;No;Yes;List;firewall
GET-FIREWALLGM;Get-FIREWALLGamerMode;Get FIREWALL Gamer Mode Information;firewall/gamermode;https://192.168.1.254/api/v1/firewall/gamermode;GET;private;Private;firewall-read;No;Yes;List;firewall-gamermode
GET-FIREWALLPR;Get-FIREWALLPingResponder;Get FIREWALL Ping Responder Configuration Information;firewall/pingresponder;https://192.168.1.254/api/v1/firewall/pingresponder;GET;public;Private;firewall-read;No;Yes;List;firewall-pingresponder
GET-FIREWALLR;Get-FIREWALLRules;Get FIREWALL Rules Information;firewall/rules;https://192.168.1.254/api/v1/firewall/rules;GET;private;Private;firewall-read;No;Yes;Table;firewall-rules
GET-FIREWALLRID;Get-FIREWALLRulesID;Get FIREWALL Rules Information by ID;firewall/rules;https://192.168.1.254/api/v1/firewall/rules/{ID};GET;private;Private;firewall-read;No;Yes;List;firewall-rules-id
GET-FIREWALLv6L;Get-FIREWALLv6Level;Get FIREWALL V6 Level;firewallv6/level;https://192.168.1.254/api/v1/firewallv6/level;GET;private;Private;firewall-read;No;Yes;List;firewallv6-level
GET-FIREWALLv6R;Get-FIREWALLv6Rules;Get FIREWALL V6 Rules Information;firewallv6/rules;https://192.168.1.254/api/v1/firewallv6/rules;GET;private;Private;firewall-read;No;Yes;Table;firewallv6-rules
GET-FIREWALLv6RID;Get-FIREWALLv6RulesID;Get FIREWALL V6 Rules Information by ID;firewallv6/rules;https://192.168.1.254/api/v1/firewallv6/rules/{id};GET;private;Private;firewall-read;No;Yes;List;firewallv6-rules-id
GET-GRAPHSID;Get-GRAPHSID;Get GRAPHS Configuration Information by ID;graphs;https://192.168.1.254/api/v1/graphs/{ID};GET;public;Private;lan-read;No;No;List;graphs
GET-HOSTS;Get-HOSTS;Get HOSTS List Information;hosts;https://192.168.1.254/api/v1/hosts;GET;public;Private;host-read;No;Yes;Table;hosts
GET-HOSTSID;Get-HOSTID;Get HOSTS List Information by ID;hosts;https://192.168.1.254/api/v1/hosts/{ID};GET;public;Private;host-read;No;Yes;List;hosts-id
GET-HOSTSL;Get-HOSTSLite;Get HOSTS Lite Information;hosts/lite;https://192.168.1.254/api/v1/hosts/lite;GET;public;Private;host-read;No;Yes;Table;hosts-lite
GET-HOSTSME;Get-HOSTSMEE;Get MY HOST Information;hosts/me;https://192.168.1.254/api/v1/hosts/me;GET;public;Private;host-read;No;Yes;List;hosts-me
GET-HOSTSP;Get-HOSTSPAUTH;Get HOSTS PAUTH Information;hosts/pauth;https://192.168.1.254/api/v1/hosts/pauth;GET;public;Private;host-read;No;Yes;Table;hosts-pauth
GET-IPTV;Get-IPTV;Get IPTV Configuration Information;iptv;https://192.168.1.254/api/v1/iptv;GET;private;Private;diag-read;No;Yes;Table;iptv
GET-IPTVD;Get-IPTVDiags;Get IPTV Diags Information;iptv/diags;https://192.168.1.254/api/v1/iptv/diags;GET;private;Private;diag-read;No;Yes;List;iptv-diags
GET-LANA;Get-LANAlerts;Get LAN User Alerts Information;alerts;https://192.168.1.254/api/v1/alerts;GET;public;Private;alert-read;No;Yes;Table;alerts
GET-LANIP;Get-LANIP;Get LAN IP Configuration Information;lan/ip;https://192.168.1.254/api/v1/lan/ip;GET;public;Private;lan-read;No;Yes;List;lan-ip
GET-LANS;Get-LANIPStats;Get LAN Stats Information;lan/stats;https://192.168.1.254/api/v1/lan/stats;GET;public;Private;lan-read;No;Yes;List;lan-stats
GET-LEGACYINFO;Get-LEGACYINFO;Get LEGACY Information;legacy/_info.xml;https://192.168.1.254/legacy/_info.xml;GET;public;Private;lan-read;No;No;;legacy-info
GET-NATDMZ;Get-NATDMZ;Get NAT DMZ Configuration Information;nat/dmz;https://192.168.1.254/api/v1/nat/dmz;GET;public;Private;nat-read;No;Yes;List;nat-dmz
GET-NAT;Get-NAT;Get NAT Configuration Information;nat/rules;https://192.168.1.254/api/v1/nat/rules;GET;public;Private;nat-read;No;Yes;List;nat-rules-config
GET-NATR;Get-NATRules;Get NAT Rules Information;nat/rules;https://192.168.1.254/api/v1/nat/rules;GET;public;Private;nat-read;No;Yes;Table;nat-rules
GET-NATRID;Get-NATRulesID;Get NAT Rules Information by ID;nat/rules;https://192.168.1.254/api/v1/nat/rules/{id};GET;public;Private;nat-read;No;Yes;List;nat-rules-id
GET-NOTIFICATION;Get-NOTIFICATIONConfig;Get NOTIFICATION Configuration Information;notification;https://192.168.1.254/api/v1/notification;GET;private;Private;notif-read;No;Yes;List;notification-Config
GET-NOTIFICATIONCA;Get-NOTIFICATIONConfigAlerts;Get NOTIFICATION Configuration Alerts List Information;notification/alerts;https://192.168.1.254/api/v1/notification;GET;private;Private;notif-read;No;Yes;Table;notification-Config-alerts
GET-NOTIFICATIONCC;Get-NOTIFICATIONConfigContacts;Get NOTIFICATION Configuration Contacts List Information;notification/contacts;https://192.168.1.254/api/v1/notification;GET;private;Private;notif-read;No;Yes;Table;notification-Config-contacts
GET-NOTIFICATIONCE;Get-NOTIFICATIONConfigEvents;Get NOTIFICATION Configuration Events List Information;notification/events;https://192.168.1.254/api/v1/notification;GET;private;Private;notif-read;No;Yes;Table;notification-Config-events
GET-NOTIFICATIONA;Get-NOTIFICATIONAlerts;Get NOTIFICATION Alerts List Information;notification/alerts;https://192.168.1.254/api/v1/notification/alerts;GET;private;Private;notif-read;No;Yes;Table;notification-alerts
GET-NOTIFICATIONC;Get-NOTIFICATIONContacts;Get NOTIFICATION Contacts Information;notification/contacts;https://192.168.1.254/api/v1/notification/contacts;GET;private;Private;notif-read;No;Yes;Table;notification-contacts
GET-NOTIFICATIONE;Get-NOTIFICATIONEvents;Get NOTIFICATION Events Information;notification/events;https://192.168.1.254/api/v1/notification/events;GET;private;Private;notif-read;No;Yes;Table;notification-events
GET-OAUTHA;Get-OAUTHAuthorize;Get OAUTH Authorize Information;oauth/authorize;https://192.168.1.254/api/v1/oauth/authorize;GET;public;Private;any;No;No;List;oauth-authorize
GET-OQCBUTTONID;Get-OQCBUTTONID;Get BBOX BUTTON Information;oqc/button;https://192.168.1.254/api/v1/oqc/button;GET;private;Private;device-read;No;No;;oqc-button
GET-PARENTALCONTROL;Get-PARENTALCONTROL;Get PARENTAL CONTROL Configuration Information;parentalcontrol;https://192.168.1.254/api/v1/parentalcontrol;GET;private;Private;parental-read;No;Yes;List;parentalcontrol
GET-PARENTALCONTROLS;Get-PARENTALCONTROLScheduler;Get PARENTAL CONTROL Scheduler Configuration Information;parentalcontrol/scheduler;https://192.168.1.254/api/v1/parentalcontrol/scheduler;GET;private;Private;parental-read;No;Yes;list;parentalcontrol-scheduler
GET-PARENTALCONTROLSR;Get-PARENTALCONTROLSchedulerRules;Get PARENTAL CONTROL Scheduler Rules Configuration Information;parentalcontrol/scheduler;https://192.168.1.254/api/v1/parentalcontrol/scheduler;GET;private;Private;parental-read;No;Yes;Table;parentalcontrol-scheduler-rules
GET-PASSRECOVERV;Get-PasswordRecoveryVerify;Get Password Recovery Verify Inofrmation;password-recovery/verify;https://192.168.1.254/api/v1/password-recovery/verify;GET;public;None;auth-write;No;Yes;List;password-recovery-verify
GET-PROFILEC;Get-PROFILEConsumption;Get PROFIL Consumption Information;profile/consumption;https://192.168.1.254/api/v1/profile/consumption;GET;private;Private;profile-read;No;Yes;List;profile-consumption
GET-REMOTEPWOL;Get-REMOTEProxyWOL;Get REMOTE Proxy WOL Information;remote/proxywol;https://192.168.1.254/api/v1/remote/proxywol;GET;private;Private;remote;No;Yes;List;remote-proxywol
GET-SERVICES;Get-SERVICES;Get SERVICES Configuration Information;services;https://192.168.1.254/api/v1/services;GET;public;Private;lan-read;No;Yes;Table;services
GET-SUMMARY;Get-SUMMARY;Get SUMMARY Configuration Information;summary;https://192.168.1.254/api/v1/summary;GET;public;Private;lan-read;No;Yes;List;summary
GET-SPEEDTESTC;GET-SPEEDTESTContext;Get Speedtest Context Configuration Information;speedtest/context;https://192.168.1.254/api/v1/speedtest/context;GET;public;Private;device-read;No;Yes;List;SPEEDTEST-Context
GET-UPNPIGD;Get-UPNPIGD;Get UPNP IGD Configuration Information;upnp/igd;https://192.168.1.254/api/v1/upnp/igd;GET;public;Private;igd-read;No;Yes;List;upnp-igd
GET-UPNPIGDR;Get-UPNPIGDRules;Get UPNP IGD Rules Configuration Information;upnp/igd/rules;https://192.168.1.254/api/v1/upnp/igd/rules;GET;public;Private;igd-read;No;Yes;Table;upnp-igd-rules
GET-USBS;Get-USBStorage;Get USB Storage Configuration Information;usb/storage;https://192.168.1.254/api/v1/usb/storage;GET;private;Private;usb-read;No;Yes;Table;usb-storage
GET-USERSAVE;Get-USERSAVE;Get USER SAVE Configuration Information;usersave;https://192.168.1.254/api/v1/usersave;GET;public;Private;backup-read;No;Yes;List;usersave
GET-VOIP;Get-VOIP;Get VOIP Configuration Information;voip;https://192.168.1.254/api/v1/voip;GET;private;Private;voip-read;No;Yes;List;voip
GET-VOIPCL;Get-VOIPCallLogLineX;Get-VOIP Last 5 Calls Log Information by line;voip/calllog;https://192.168.1.254/api/v1/voip/calllog/{ID};GET;private;Private;voip-read;No;Yes;Table;voip-calllog
GET-VOIPD;Get-VOIPDiags;Get-VOIP Diags Information;voip/diag;https://192.168.1.254/api/v1/voip/diag;GET;private;Private;voip-read;No;Yes;Table;voip-diag
GET-VOIPDH;Get-VOIPDiagHost;Get-VOIP Diags Host Information;voip/diag;https://192.168.1.254/api/v1/voip/diag;GET;private;Private;voip-read;No;Yes;Table;voip-diag-host
GET-VOIPDU;Get-VOIPDiagUSB;Get-VOIP Diags USB Information;voip/diag;https://192.168.1.254/api/v1/voip/diag;GET;private;Private;voip-read;No;Yes;Table;voip-diag-usb
